product_name,review_text,tags
UV-C Sanitizer and Deodorizer,"Zero affect on odor. This device works by pushing a small volume of air over a UVC light. It has no odor elimination because there is nothing in the device that could do so. It should not be marketed for odor, it’s just not possible with what this unit is capable of. Not recommended.","[""performance""]"
Amazon Fire TV Stick,Your being ripped off. Great concept but once you stop all the subscriptions your stick doesn't work anymore.,"[""value""]"
Cotton Rounds,You’ll not save your money. Good price for 4 packs. But I would like to see better quality for this price. Sometimes it feels like a little rough. The rounds are too thin and you’ll need to use more. I think it’s not worth it because you can buy more expensive one and you’ll use it same time like this one.,"[""quality"",""value""]"
Echo Dot,You’ll never regret having it in your life!!. This  Echo Dot was a gift from my son to help me navigate new technology.  BEST GIFT EVER!  How did I ever live without it!!,"[""none""]"
Earbuds,You won't go wrong with these. I love these earbuds. Incredible sound.,"[""performance""]"
Coffee Filter,You have to use more than one filter. The .... You have to use more than one filter. The first time I used these filters I only used one and that turned out to be a disaster. The next cup I used 3 to be on the safe side and it was ok. So every time I want a cup of coffee i have to use 3 filters!,"[""performance""]"
Cotton Rounds,"You get your money's worth. These rub my eyes in the bad way. They're really rough, and really not that thick. I think you get what you pay for in terms of these. Obviously they still do their job, but I really wish they were softer because I feel like I'm probably getting scratches on my skin even with it soaking wet.","[""quality"",""value""]"
Hair Clips,You get what you pay for.. The quality isn't that great but its expected because of the price.,"[""quality"",""value""]"
Amazon Fire Tablet,"You get what you pay for. This tab sucks compared to my last one. It runs slow and clunky. It doesn't have apps and features I want. Pretty much all I do is look at websites, social media, and read. It can't even handle that smoothly. You get what you pay for. I will spend the money for something better next time.","[""performance"",""value""]"
False Eyelashes,You get what you paid for.. The &#34;hairs&#34; are easily detached and they are mounted on a flimsy piece of string. Very difficult to put on.,"[""design"",""quality""]"
Echo Dot,You can't see the light! You don't know if she heard you. I bought a couple of these for Prime Day - as replacements for older ones - but the fact that the light ring is now on the bottom has everyone in my house is constantly yelling because we never know if she heard us or not.<br />Huge annoyance.,"[""design""]"
Yoga Mat Cleaner,Yogies welcome. Nice for the price!,"[""value""]"
Glycerin,Yes. Yes,"[""non-review""]"
Back Cushion,Yea. Ordered this for my Mom who lives all day in a nursing home. So far this seems to be working great for her when so many cushions before haven't.,"[""performance""]"
Soft Tissues,Wrong item. I usually order the Vicks puff tissue but I orders the wron one by accident,"[""non-review""]"
Earplugs,"Wow. I'm really surprised these work. I wear them when I go out with friends and have found it much easier to hear them over the music, besides the music being much more tolerable. My ears aren't ringing when I leave and take them out, so my migraines aren't triggered as easily. Very happy with this purchase, I just wish they were a tiny bit more effective with the music.","[""performance""]"
Amazon Echo Show,Wouldn't buy again. Slow and generally unimpressive. Has more glitches than Gary's mod. Disconnects ALL THE TIME. My echo dot works better. Touch screen has a delay and it seems like this little thing has to think extra hard to do anything.,"[""performance""]"
Foot Scrubber / Massager,wouldn't buy again. doesn't clean your feet with ease like advertised.,"[""performance""]"
Amazon Fire Tablet,Would recommend. Excellent,"[""none""]"
Foot Scrubber / Massager,Would recommend. Decent product. It gets the job done as far as cleaning and has a pumice stone. I like it.,"[""performance""]"
Earbuds,Worth the price. Can’t complain about these. Well worth the price. Better than average sound.,"[""value"",""performance""]"
Amazon Fire TV Stick,Worth it!. Excellent purchase...very happy!,"[""value""]"
Amazon Fire Tablet,Worth every penny. Excellent tablet. I get everything I want with no trouble.,"[""value""]"
Kindle Paperwhite e-reader.,worse port in planet. Impossible to get charger into port -- it is too tight. Worse engineering imaginable. Device is absolutely no good to me since I cannot charge.,"[""quality""]"
Listerine pump for mouthwash,works. works perfect!,"[""performance""]"
Water Filter,Works. Works as described.  Bit expensive for the time it lasts and you would think for this kind of money it'll be cleaned.  Nope.  Have to waste a whole tray (and a day) of making black/gray ice before ice can be used.,"[""performance"",""value""]"
